"year","month","day","petrol_price","diesel_price"
2020,1,31,1.11,1.2
2016,1,6,1.08,1.19
2017,11,5,1.12,1.21
2017,5,4,1.1,1.19
2012,8,5,1.12,1.2
2011,5,9,1.11,1.22
2012,12,20,1.1,1.2
2019,12,20,1.11,1.18
2014,9,9,1.1,1.19
2020,11,10,1.11,1.22
2015,6,16,1.1,1.18
2014,10,8,1.1,1.21
2018,8,28,1.11,1.2
2018,1,19,1.1,1.19
2010,3,3,1.1,1.19
2018,5,13,1.11,1.2
2016,12,25,1.1,1.21
2017,8,27,1.1,1.2
2011,2,26,1.1,1.2
2015,7,13,1.09,1.2
2016,3,14,1.09,1.17
2014,7,30,1.1,1.18
2012,10,24,1.11,1.19
2015,12,16,1.1,1.23
2018,8,22,1.11,1.2
2010,11,20,1.1,1.22
2014,9,14,1.11,1.18
2012,6,5,1.1,1.21
2016,2,14,1.08,1.21
2010,4,15,1.11,1.2
2013,6,31,1.08,1.2
2010,11,22,1.11,1.2
2017,6,22,1.1,1.2
2011,12,8,1.11,1.2
2019,6,7,1.1,1.22
2017,8,14,1.08,1.19
2016,11,2,1.12,1.2
2019,12,30,1.12,1.2
2015,2,14,1.11,1.21
2014,8,30,1.1,1.23
2013,7,16,1.09,1.2
2018,8,9,1.09,1.21
2015,3,30,1.1,1.2
2012,3,9,1.09,1.18
2016,4,22,1.11,1.21
2020,7,1,1.09,1.22
2017,2,4,1.1,1.21
2010,1,5,1.12,1.21
2013,5,12,1.1,1.22
2020,3,30,1.08,1.19
2017,8,9,1.1,1.21
2011,4,16,1.09,1.2
2017,6,5,1.11,1.19
2014,4,26,1.08,1.18
2011,6,2,1.1,1.18
2019,9,22,1.1,1.22
2018,8,19,1.11,1.2
2020,3,18,1.1,1.19
2013,8,23,1.09,1.2
2012,9,12,1.1,1.19
2015,6,13,1.09,1.2
2013,1,1,1.1,1.19
2016,10,11,1.1,1.19
2020,5,15,1.1,1.19
2012,5,23,1.08,1.2
2017,9,31,1.11,1.19
2020,1,10,1.09,1.2
2018,12,26,1.1,1.18
2014,5,22,1.11,1.19
2012,9,13,1.11,1.22
2018,2,22,1.11,1.21
2011,5,14,1.1,1.2
2013,9,31,1.09,1.19
2016,2,27,1.11,1.19
2010,10,26,1.1,1.19
2017,9,27,1.11,1.2
2012,3,31,1.1,1.18
2011,8,18,1.11,1.19
2016,1,1,1.1,1.19
2015,7,2,1.11,1.2
2012,1,3,1.09,1.2
2017,5,20,1.1,1.19
2015,11,15,1.09,1.2
2012,1,15,1.09,1.2
2012,12,20,1.1,1.19
2017,6,17,1.1,1.2
2020,1,9,1.11,1.21
2019,7,22,1.1,1.18
2012,2,4,1.09,1.2
2015,8,14,1.1,1.21
2014,4,2,1.1,1.2
2019,4,4,1.11,1.2
2013,3,10,1.1,1.19
2020,12,12,1.11,1.21
2017,4,14,1.1,1.21
2017,2,3,1.11,1.2
2013,11,11,1.1,1.19
2010,3,18,1.09,1.2
2011,9,6,1.1,1.19
2011,6,4,1.11,1.21
2015,7,21,1.09,1.21
2010,7,20,1.11,1.21
2015,6,24,1.1,1.21
2015,9,16,1.08,1.2
2015,2,18,1.12,1.19
2020,5,17,1.12,1.19
2012,8,24,1.11,1.21
2016,2,26,1.11,1.19
2016,12,17,1.11,1.19
2020,7,27,1.09,1.19
2010,6,4,1.09,1.21
2014,1,29,1.1,1.21
2019,11,1,1.1,1.19
2011,11,14,1.1,1.19
2015,1,15,1.1,1.2
2011,2,21,1.11,1.19
2015,9,7,1.09,1.19
2015,7,23,1.1,1.19
2020,7,20,1.11,1.21
2013,3,23,1.08,1.19
2014,11,29,1.11,1.19
2015,2,14,1.11,1.21
2011,4,11,1.12,1.21
2017,7,18,1.1,1.18
2016,3,30,1.1,1.2
2014,6,13,1.09,1.19
2018,8,8,1.1,1.21
2020,12,15,1.09,1.2
2016,5,12,1.12,1.2
2020,1,29,1.1,1.18
2013,6,29,1.09,1.19
2020,2,8,1.07,1.22
2010,9,22,1.1,1.2
2010,9,28,1.11,1.2
2018,11,30,1.1,1.21
2019,5,1,1.11,1.2
2012,4,25,1.11,1.2
2017,7,11,1.11,1.19
2019,10,18,1.11,1.19
2015,5,1,1.1,1.2
2018,10,9,1.1,1.21
2011,7,6,1.11,1.21
2010,2,31,1.08,1.19
2018,10,3,1.09,1.2
2020,11,25,1.09,1.19
2013,12,16,1.1,1.19
2016,10,4,1.09,1.21
2013,3,9,1.11,1.2
2012,3,18,1.11,1.2
2018,10,31,1.1,1.2
2011,9,2,1.11,1.2
2015,2,19,1.11,1.19
2010,9,21,1.09,1.21
2020,3,11,1.09,1.21
2012,3,22,1.11,1.19
2010,10,30,1.1,1.21
2011,3,12,1.09,1.2
2019,4,23,1.09,1.21
2017,5,13,1.1,1.2
2011,9,18,1.09,1.21
2020,8,19,1.09,1.18
2016,6,12,1.1,1.19
2020,5,13,1.08,1.19
2020,8,26,1.11,1.2
2018,4,28,1.09,1.21
2015,10,23,1.1,1.19
2019,8,5,1.09,1.18
2012,10,8,1.11,1.18
2013,4,4,1.09,1.21
2019,5,18,1.1,1.19
2020,8,10,1.08,1.21
2020,6,27,1.11,1.21
2020,1,7,1.09,1.21
2019,11,7,1.11,1.22
2017,11,9,1.1,1.21
2013,4,30,1.09,1.21
2014,3,4,1.11,1.19
2020,6,31,1.1,1.2
2018,1,8,1.1,1.21
2014,1,6,1.1,1.2
2019,2,16,1.1,1.2
2014,11,12,1.09,1.22
2018,12,9,1.08,1.19
2012,5,25,1.1,1.21
2013,3,19,1.1,1.2
2013,6,29,1.1,1.21
2010,2,14,1.1,1.21
2014,8,17,1.11,1.2
2013,11,23,1.11,1.2
2015,2,26,1.1,1.22
2020,3,15,1.09,1.2
2015,3,6,1.1,1.19
2020,2,12,1.09,1.21
2012,9,19,1.1,1.2
2013,3,11,1.1,1.19
2019,6,6,1.1,1.21
2018,6,19,1.09,1.19
2019,9,1,1.1,1.21
2018,11,24,1.09,1.2
2017,8,7,1.1,1.2
2016,7,4,1.1,1.19
2013,5,12,1.1,1.2
2016,9,14,1.1,1.19
2012,1,8,1.1,1.19
2014,10,3,1.09,1.2
2012,4,2,1.09,1.2
2017,1,7,1.1,1.22
2013,11,21,1.08,1.2
2019,1,26,1.09,1.18
2012,12,5,1.1,1.2
2016,3,14,1.1,1.21
2015,12,5,1.12,1.2
2014,7,17,1.1,1.2
2010,7,18,1.1,1.2
2014,9,19,1.11,1.22
2013,2,14,1.1,1.2
2014,8,16,1.12,1.21
2012,6,5,1.11,1.19
2011,6,19,1.11,1.19
2010,2,4,1.11,1.21
2020,3,1,1.1,1.21
2012,1,13,1.1,1.19
2011,5,10,1.09,1.2
2010,12,25,1.11,1.2
2011,8,15,1.11,1.21
2017,9,20,1.09,1.2
2020,11,14,1.1,1.2
2016,11,8,1.1,1.21
2020,9,18,1.1,1.21
2015,6,23,1.11,1.2
2010,8,26,1.1,1.2
2015,5,13,1.11,1.2
2011,2,18,1.1,1.19
2020,1,8,1.11,1.22
2012,1,17,1.11,1.18
2015,12,4,1.12,1.2
2016,3,23,1.08,1.19
2019,9,17,1.1,1.18
2020,2,13,1.1,1.19
2017,9,28,1.1,1.21
2017,5,9,1.1,1.2
2015,5,18,1.11,1.19
2014,6,31,1.1,1.2
2010,2,1,1.1,1.19
2020,4,27,1.11,1.2
2013,4,21,1.1,1.19
2011,8,24,1.12,1.2
2018,9,31,1.1,1.2
2015,7,13,1.09,1.2
2020,10,26,1.09,1.19
2016,11,25,1.11,1.18
2011,5,7,1.1,1.2
2015,7,17,1.1,1.2
2018,7,9,1.1,1.21
2015,2,3,1.11,1.19
2019,2,15,1.1,1.21
2020,9,18,1.1,1.2
2010,2,8,1.1,1.21
2018,9,9,1.12,1.21
2016,4,20,1.1,1.21
2016,3,9,1.1,1.2
2017,12,22,1.08,1.2
2012,7,6,1.12,1.21
2011,9,4,1.08,1.19
2014,5,24,1.13,1.21
2014,6,16,1.11,1.21
2019,8,7,1.1,1.2
2015,6,20,1.11,1.22
2019,9,24,1.11,1.2
2013,8,13,1.1,1.2
2012,1,3,1.1,1.22
2019,12,29,1.11,1.21
2018,10,2,1.09,1.19
2017,4,31,1.08,1.2
2014,5,6,1.11,1.2
2020,8,17,1.11,1.19
2011,8,17,1.11,1.21
2014,2,11,1.08,1.2
2011,2,9,1.1,1.21
2020,6,22,1.1,1.22
2010,7,24,1.09,1.2
2017,11,24,1.1,1.21
2020,7,22,1.1,1.19
2015,2,13,1.1,1.22
2012,12,14,1.1,1.2
2020,8,14,1.09,1.2
2016,5,27,1.09,1.21
2011,5,25,1.11,1.18
2015,8,23,1.11,1.21
2016,12,26,1.11,1.21
2016,5,13,1.09,1.2
2011,12,6,1.12,1.21
2017,2,24,1.09,1.21
2018,5,18,1.1,1.19
2012,8,20,1.1,1.19
2012,3,10,1.08,1.2
2014,4,2,1.11,1.19
2010,12,22,1.1,1.2
2014,5,15,1.08,1.21
2015,7,19,1.1,1.21
2018,11,30,1.1,1.19
2010,11,24,1.1,1.2
2017,10,24,1.11,1.19
2013,11,17,1.09,1.19
2014,3,27,1.11,1.2
2012,9,6,1.09,1.21
2016,3,16,1.09,1.2
2015,12,3,1.12,1.19
2018,4,1,1.09,1.21
2020,6,4,1.1,1.2
2013,4,24,1.09,1.18
2015,7,5,1.1,1.2
2013,11,4,1.12,1.19
2016,8,11,1.09,1.2
2016,1,25,1.1,1.2
2019,8,27,1.11,1.2
2017,10,15,1.08,1.21
2012,10,5,1.1,1.23
2011,8,19,1.1,1.2
2015,2,30,1.12,1.19
2014,10,26,1.1,1.19
2019,7,29,1.12,1.2
2017,11,25,1.09,1.2
2010,10,14,1.12,1.2
2020,10,18,1.1,1.2
2017,8,15,1.09,1.21
2015,12,7,1.09,1.18
2017,12,22,1.1,1.21
2017,6,21,1.11,1.19
2010,4,26,1.1,1.19
2011,8,17,1.11,1.22
2014,11,25,1.11,1.21
2015,3,23,1.11,1.21
2011,11,23,1.08,1.19
2011,11,15,1.09,1.2
2012,11,30,1.1,1.2
2019,2,21,1.08,1.2
2017,2,9,1.09,1.21
2019,1,23,1.12,1.19
2011,9,30,1.1,1.2
2018,8,29,1.09,1.2
2012,7,29,1.11,1.2
2020,2,1,1.11,1.2
2017,10,26,1.09,1.21
2020,11,17,1.1,1.2
2013,7,18,1.08,1.19
2014,12,5,1.1,1.2
2017,1,7,1.09,1.2
2016,10,18,1.08,1.2
2016,11,13,1.09,1.2
2017,7,3,1.12,1.2
2016,11,2,1.1,1.21
2014,9,27,1.1,1.21
2013,3,17,1.09,1.19
2016,8,20,1.11,1.21
2015,7,25,1.11,1.2
2018,8,27,1.1,1.21
2018,6,15,1.09,1.19
2020,3,18,1.1,1.19
2013,9,3,1.1,1.2
2011,2,26,1.1,1.2
2012,7,12,1.1,1.2
2016,2,13,1.11,1.19
2016,10,29,1.13,1.2
2016,5,1,1.11,1.21
2016,7,29,1.1,1.21
2012,3,30,1.1,1.21
2013,9,31,1.12,1.2
2014,12,9,1.09,1.21
2018,11,15,1.09,1.18
2019,9,26,1.09,1.2
2019,2,28,1.1,1.2
2020,7,25,1.1,1.2
2015,8,20,1.09,1.21
2016,1,13,1.09,1.19
2020,9,30,1.1,1.19
2016,7,10,1.11,1.21
2015,4,6,1.12,1.2
2010,9,23,1.1,1.21
2012,11,10,1.1,1.18
2014,2,20,1.11,1.21
2012,1,15,1.09,1.22
2012,10,13,1.09,1.21
2011,7,1,1.1,1.2
2013,6,4,1.09,1.21
2020,7,20,1.12,1.2
2017,7,17,1.09,1.21
2015,10,9,1.11,1.2
2014,4,10,1.1,1.21
2012,3,25,1.1,1.19
2013,3,5,1.1,1.21
2019,10,7,1.11,1.21
2010,2,14,1.1,1.21
2017,8,14,1.09,1.21
2015,5,27,1.11,1.21
2020,6,7,1.1,1.2
2020,4,3,1.11,1.18
2017,10,28,1.1,1.19
2015,10,17,1.1,1.22
2017,11,26,1.09,1.2
2010,10,28,1.09,1.21
2010,11,20,1.11,1.19
2016,10,14,1.11,1.19
2016,6,12,1.1,1.21
2012,10,15,1.1,1.2
2014,2,6,1.1,1.2
2016,12,2,1.1,1.2
2018,7,1,1.1,1.21
2020,2,21,1.1,1.21
2016,8,6,1.1,1.18
2019,5,16,1.11,1.19
2014,5,24,1.12,1.2
2014,5,24,1.1,1.19
2017,1,27,1.09,1.2
2010,7,21,1.12,1.21
2014,3,28,1.1,1.21
2018,7,23,1.11,1.19
2017,7,24,1.11,1.19
