"year","month","day","petrol_price","diesel_price"
2010,4,14,1.1,1.21
2016,8,19,1.11,1.19
2020,6,31,1.11,1.2
2013,3,18,1.09,1.2
2013,2,29,1.1,1.19
2011,10,11,1.07,1.2
2019,10,25,1.1,1.21
2020,8,15,1.1,1.19
2019,7,15,1.09,1.22
2018,9,8,1.09,1.19
2011,11,1,1.1,1.2
2017,1,18,1.1,1.19
2019,11,21,1.1,1.2
2015,11,27,1.11,1.2
2010,3,16,1.1,1.2
2010,7,16,1.1,1.2
2017,2,27,1.1,1.21
2011,10,22,1.11,1.2
2020,6,24,1.1,1.21
2019,3,7,1.11,1.2
2015,1,31,1.09,1.2
2013,3,25,1.1,1.2
2017,4,16,1.08,1.19
2014,7,13,1.1,1.19
2019,12,27,1.11,1.2
2017,6,10,1.1,1.21
2010,11,27,1.1,1.21
2014,1,3,1.11,1.2
2013,9,13,1.09,1.2
2014,3,5,1.08,1.2
2012,9,15,1.11,1.21
2015,2,28,1.11,1.2
2015,9,10,1.11,1.2
2011,2,11,1.09,1.2
2020,9,27,1.09,1.19
2018,12,7,1.09,1.2
2017,8,5,1.1,1.2
2010,11,22,1.08,1.2
2018,4,5,1.1,1.2
2018,6,3,1.12,1.2
2012,11,21,1.1,1.2
2015,12,3,1.09,1.19
2017,2,24,1.09,1.2
2013,7,20,1.09,1.2
2012,11,14,1.1,1.18
2019,8,7,1.1,1.2
2010,9,17,1.1,1.2
2013,5,8,1.1,1.21
2012,6,2,1.1,1.19
2019,8,12,1.1,1.2
2014,8,23,1.1,1.19
2013,12,26,1.09,1.2
2019,6,29,1.11,1.21
2011,10,16,1.1,1.21
2015,1,8,1.09,1.2
2015,3,4,1.11,1.2
2019,6,23,1.09,1.2
2011,4,11,1.08,1.21
2018,1,23,1.11,1.19
2011,2,26,1.1,1.21
2015,5,19,1.1,1.22
2017,11,3,1.11,1.18
2012,9,1,1.1,1.2
2014,2,19,1.1,1.21
2017,6,6,1.1,1.2
2016,5,16,1.1,1.19
2017,8,15,1.11,1.2
2010,3,1,1.11,1.21
2013,2,18,1.11,1.2
2011,11,7,1.12,1.22
2011,6,11,1.11,1.21
2017,1,30,1.09,1.21
2015,11,22,1.1,1.21
2019,11,15,1.12,1.2
2013,2,20,1.1,1.19
2017,10,23,1.11,1.22
2014,4,19,1.1,1.21
2019,4,11,1.1,1.19
2020,3,20,1.12,1.18
2020,2,5,1.1,1.21
2013,7,6,1.1,1.21
2012,10,25,1.1,1.2
2017,2,18,1.1,1.2
2015,12,2,1.1,1.21
2019,8,29,1.1,1.2
2015,3,23,1.1,1.2
2018,5,13,1.08,1.2
2013,2,1,1.1,1.2
2014,3,30,1.09,1.21
2020,8,29,1.09,1.2
2013,9,29,1.09,1.19
2017,12,25,1.1,1.2
2017,11,14,1.11,1.18
2015,5,2,1.1,1.19
2013,3,23,1.11,1.21
2015,8,20,1.1,1.2
2017,4,28,1.09,1.19
2011,1,7,1.09,1.21
2018,5,6,1.1,1.2
2018,11,16,1.08,1.2
2015,11,9,1.09,1.21
2020,3,30,1.12,1.2
2017,9,30,1.09,1.19
2019,6,21,1.09,1.2
2017,7,8,1.1,1.21
2015,5,19,1.11,1.2
2018,7,21,1.11,1.19
2019,2,4,1.09,1.2
2020,12,4,1.1,1.2
2016,5,8,1.08,1.21
2012,3,17,1.09,1.19
2014,12,14,1.09,1.2
2013,6,21,1.09,1.2
2015,8,8,1.1,1.19
2013,3,2,1.08,1.2
2019,12,15,1.09,1.21
2010,9,8,1.1,1.2
2017,7,31,1.11,1.19
2020,10,15,1.1,1.21
2015,6,21,1.09,1.2
2019,7,4,1.1,1.19
2019,12,19,1.1,1.2
2017,8,2,1.09,1.19
2012,10,26,1.09,1.2
2014,7,13,1.11,1.2
2015,12,17,1.08,1.22
2019,4,18,1.09,1.17
2018,3,14,1.1,1.2
2014,5,10,1.1,1.21
2019,8,28,1.11,1.21
2010,9,9,1.1,1.19
2011,10,19,1.11,1.19
2015,12,31,1.11,1.2
2012,3,12,1.12,1.21
2015,6,12,1.09,1.19
2013,9,4,1.11,1.2
2013,11,17,1.09,1.2
2020,12,25,1.08,1.2
2011,9,15,1.1,1.19
2019,6,27,1.11,1.2
2017,8,22,1.09,1.21
2016,3,23,1.09,1.19
2018,10,25,1.09,1.2
2017,7,16,1.09,1.21
2012,6,10,1.11,1.18
2020,4,24,1.1,1.19
2020,12,3,1.1,1.19
2020,3,30,1.12,1.2
2016,7,15,1.1,1.2
2016,3,11,1.09,1.2
2019,11,5,1.1,1.18
2015,7,3,1.1,1.2
2019,3,6,1.1,1.2
2010,9,28,1.11,1.18
2011,5,23,1.11,1.2
2019,11,15,1.1,1.22
2019,1,17,1.09,1.18
2018,7,25,1.09,1.19
2017,2,11,1.1,1.21
2015,2,16,1.1,1.19
2014,9,21,1.11,1.21
2019,8,12,1.09,1.2
2016,10,24,1.09,1.21
2013,2,31,1.11,1.19
2014,4,4,1.1,1.21
2015,3,7,1.09,1.21
2010,2,18,1.09,1.19
2017,5,25,1.08,1.2
2020,4,5,1.1,1.19
2012,4,7,1.09,1.2
2018,4,3,1.08,1.2
2013,7,4,1.12,1.2
2019,10,29,1.11,1.19
2020,3,24,1.09,1.2
2016,8,28,1.1,1.19
2012,11,20,1.1,1.19
2017,12,2,1.11,1.21
2014,8,3,1.09,1.2
2015,5,1,1.09,1.19
2018,11,12,1.1,1.2
2017,3,24,1.09,1.21
2013,2,21,1.11,1.2
2017,2,12,1.09,1.18
2010,6,17,1.09,1.21
2014,4,1,1.12,1.2
2018,9,16,1.09,1.2
2013,6,18,1.11,1.19
2010,4,19,1.1,1.19
2017,4,3,1.09,1.21
2014,11,6,1.1,1.2
2014,9,19,1.1,1.21
2011,3,11,1.08,1.2
2020,7,2,1.1,1.19
2020,10,8,1.1,1.19
2010,1,2,1.09,1.2
2018,5,16,1.1,1.2
2012,12,21,1.12,1.22
2011,3,8,1.09,1.21
2012,7,5,1.09,1.2
2015,6,9,1.1,1.2
2014,2,22,1.1,1.2
2015,9,26,1.1,1.21
2015,5,20,1.1,1.2
2014,10,25,1.11,1.2
2013,10,24,1.11,1.2
2020,1,3,1.1,1.2
2014,2,15,1.08,1.22
2011,9,25,1.09,1.2
2013,2,25,1.11,1.21
2014,3,21,1.1,1.22
2013,10,3,1.1,1.2
2013,11,11,1.1,1.2
2012,7,6,1.09,1.21
2015,1,27,1.1,1.2
2017,4,6,1.07,1.22
2015,6,7,1.1,1.19
2012,12,11,1.08,1.19
2017,8,31,1.09,1.19
2017,7,29,1.08,1.2
2013,3,2,1.11,1.21
2020,9,25,1.12,1.19
2014,9,23,1.11,1.19
2010,11,3,1.1,1.21
2013,7,9,1.09,1.21
2011,1,2,1.1,1.2
2011,7,18,1.1,1.21
2010,4,26,1.11,1.19
2013,7,13,1.1,1.21
2014,3,11,1.11,1.2
2010,3,30,1.1,1.19
2016,4,27,1.08,1.2
2017,5,3,1.11,1.21
2015,7,13,1.12,1.21
2020,11,13,1.09,1.18
2012,2,17,1.1,1.2
2018,9,28,1.09,1.21
2016,3,11,1.1,1.2
2010,12,13,1.11,1.2
2018,10,24,1.12,1.22
2016,12,31,1.1,1.18
2010,5,22,1.1,1.19
2020,3,20,1.1,1.21
2013,6,29,1.12,1.21
2016,11,7,1.11,1.21
2016,7,23,1.11,1.22
2014,2,21,1.08,1.2
2018,6,9,1.11,1.2
2020,11,25,1.1,1.18
2014,10,19,1.11,1.2
2010,6,18,1.1,1.2
2017,12,13,1.1,1.23
2012,4,27,1.1,1.2
2020,7,19,1.09,1.2
2017,10,4,1.08,1.19
2020,8,6,1.1,1.18
2010,6,8,1.09,1.2
2018,11,30,1.09,1.21
2014,2,19,1.1,1.22
2020,2,16,1.09,1.2
2018,9,25,1.08,1.19
2016,12,25,1.1,1.2
2014,11,20,1.1,1.21
2017,6,10,1.11,1.19
2014,4,21,1.12,1.2
2019,12,22,1.09,1.22
2011,7,18,1.1,1.19
2011,8,24,1.1,1.2
2015,8,1,1.1,1.2
2010,5,4,1.1,1.19
2018,8,23,1.09,1.21
2017,1,19,1.1,1.21
2015,9,12,1.12,1.19
2019,7,21,1.11,1.18
2010,6,15,1.1,1.2
2016,1,29,1.08,1.21
2016,5,26,1.09,1.21
2012,6,9,1.11,1.2
2017,6,5,1.11,1.2
2010,12,6,1.09,1.19
2016,10,30,1.08,1.21
2017,8,26,1.1,1.18
2014,1,19,1.1,1.19
2010,5,22,1.1,1.19
2020,8,13,1.12,1.21
2013,12,2,1.09,1.21
2020,3,4,1.09,1.2
2020,5,29,1.1,1.19
2019,8,9,1.09,1.19
2017,5,4,1.1,1.18
2017,5,27,1.11,1.22
2015,2,10,1.1,1.18
2012,12,17,1.11,1.19
2015,5,25,1.11,1.2
2017,12,24,1.11,1.19
2017,10,12,1.08,1.19
2019,5,10,1.1,1.19
2016,5,14,1.11,1.19
2018,5,13,1.11,1.2
2018,11,14,1.11,1.2
2013,7,15,1.09,1.21
2017,5,15,1.1,1.2
2012,11,20,1.1,1.2
2020,2,24,1.1,1.21
2013,2,24,1.1,1.21
2017,10,16,1.11,1.22
2020,7,13,1.09,1.19
2013,12,31,1.1,1.2
2018,3,5,1.09,1.2
2012,6,12,1.1,1.2
2020,9,3,1.1,1.21
2014,4,13,1.1,1.19
2018,10,26,1.09,1.21
2012,11,23,1.12,1.21
2012,12,20,1.09,1.21
2014,10,15,1.1,1.19
2016,10,20,1.1,1.2
2015,4,18,1.1,1.19
2020,4,29,1.11,1.2
2019,10,24,1.09,1.23
2020,8,5,1.11,1.2
2015,12,15,1.11,1.22
2012,8,3,1.08,1.21
2016,3,2,1.1,1.21
2014,11,9,1.1,1.2
2016,4,17,1.1,1.18
2013,1,22,1.1,1.2
2013,2,30,1.09,1.19
2010,9,30,1.09,1.2
2019,12,19,1.1,1.21
2014,8,10,1.1,1.19
2015,3,6,1.1,1.19
2019,6,5,1.11,1.22
2010,1,5,1.11,1.21
2015,5,22,1.1,1.2
2014,5,14,1.09,1.2
2013,11,21,1.09,1.18
2012,10,2,1.12,1.21
2013,11,31,1.1,1.18
2018,8,18,1.1,1.2
2013,3,12,1.1,1.21
2014,1,26,1.12,1.19
2016,12,22,1.1,1.21
2020,5,14,1.11,1.19
2011,10,17,1.09,1.2
2018,3,6,1.1,1.21
2012,4,9,1.11,1.19
2018,12,2,1.09,1.2
2012,9,28,1.09,1.19
2014,9,18,1.09,1.17
2020,12,1,1.11,1.22
2012,6,31,1.12,1.21
2010,6,4,1.1,1.2
2012,8,11,1.09,1.2
2011,9,6,1.1,1.19
2012,1,27,1.09,1.2
2019,10,31,1.11,1.2
2017,12,15,1.11,1.2
2011,10,9,1.11,1.21
2020,7,9,1.1,1.21
2012,1,9,1.11,1.2
2019,10,20,1.1,1.2
2017,8,23,1.08,1.21
2014,4,30,1.09,1.2
2010,2,17,1.1,1.18
2010,1,15,1.1,1.2
2016,7,30,1.11,1.19
2017,6,26,1.11,1.19
2018,7,12,1.09,1.2
2016,8,9,1.11,1.2
2012,3,3,1.1,1.2
2017,11,21,1.09,1.2
2019,4,24,1.09,1.21
2018,1,26,1.11,1.19
2017,11,6,1.11,1.19
2018,3,16,1.09,1.21
2015,8,1,1.11,1.2
2020,3,8,1.1,1.2
2010,11,30,1.1,1.19
2016,8,5,1.09,1.21
2013,10,26,1.1,1.19
2017,11,2,1.09,1.2
2014,4,26,1.11,1.2
2018,11,5,1.09,1.19
2013,5,19,1.1,1.18
2010,2,21,1.09,1.22
2017,9,29,1.1,1.21
2011,9,17,1.09,1.18
2014,10,1,1.12,1.2
2014,5,13,1.1,1.2
2010,2,2,1.09,1.2
2012,10,3,1.11,1.2
2012,3,4,1.07,1.2
2014,7,29,1.11,1.18
2016,4,26,1.09,1.2
2013,9,25,1.1,1.17
2012,7,9,1.1,1.19
2010,7,20,1.1,1.21
2012,7,21,1.09,1.2
2013,4,2,1.08,1.21
2018,12,24,1.12,1.22
2017,6,2,1.1,1.2
2013,7,17,1.1,1.19
2020,5,3,1.1,1.2
2011,2,25,1.09,1.21
2017,2,23,1.09,1.2
2018,8,6,1.09,1.2
2017,12,13,1.1,1.19
2017,5,13,1.1,1.2
2019,8,31,1.1,1.21
2015,12,30,1.1,1.21
2013,2,22,1.09,1.2
2010,5,6,1.08,1.21
