"year","month","day","petrol_price","diesel_price"
2012,6,31,1.11,1.17
2014,4,25,1.11,1.19
2010,9,8,1.11,1.19
2019,2,15,1.1,1.2
2015,4,31,1.1,1.2
2010,10,15,1.09,1.17
2018,3,1,1.1,1.2
2014,11,3,1.1,1.2
2020,11,6,1.1,1.21
2018,3,29,1.09,1.2
2018,6,19,1.12,1.18
2016,9,27,1.11,1.19
2019,10,23,1.09,1.21
2017,10,7,1.1,1.2
2018,12,30,1.11,1.21
2011,7,13,1.1,1.22
2013,6,9,1.1,1.2
2013,2,2,1.1,1.2
2013,4,3,1.09,1.2
2017,1,30,1.1,1.19
2016,9,23,1.09,1.22
2013,9,6,1.09,1.18
2010,5,10,1.09,1.19
2017,8,22,1.11,1.2
2016,8,13,1.09,1.22
2019,9,18,1.08,1.19
2012,4,25,1.11,1.2
2018,9,13,1.1,1.2
2020,9,13,1.09,1.19
2017,4,6,1.1,1.2
2014,8,8,1.09,1.19
2015,10,23,1.1,1.19
2015,9,28,1.1,1.2
2019,10,3,1.1,1.2
2019,2,5,1.11,1.2
2017,2,21,1.09,1.2
2012,7,23,1.11,1.21
2010,7,20,1.1,1.21
2014,3,17,1.1,1.22
2016,4,16,1.1,1.21
2014,4,13,1.09,1.18
2014,11,29,1.11,1.2
2013,9,19,1.1,1.2
2011,11,25,1.09,1.2
2019,4,18,1.1,1.19
2012,10,31,1.11,1.18
2013,6,13,1.11,1.22
2014,5,18,1.11,1.22
2014,7,31,1.1,1.19
2012,8,25,1.1,1.2
2014,12,18,1.1,1.21
2012,10,24,1.11,1.19
2020,10,29,1.1,1.21
2018,11,16,1.1,1.18
2010,10,16,1.1,1.21
2015,2,27,1.12,1.19
2019,5,11,1.12,1.21
2011,6,19,1.1,1.19
2012,12,1,1.1,1.2
2015,3,25,1.11,1.21
2015,5,17,1.09,1.21
2019,12,2,1.11,1.19
2019,3,5,1.11,1.18
2013,11,2,1.11,1.21
2015,4,19,1.09,1.19
2017,8,23,1.12,1.2
2012,7,3,1.11,1.2
2018,3,6,1.1,1.19
2011,5,22,1.1,1.2
2011,12,26,1.1,1.19
2014,12,10,1.09,1.2
2013,10,27,1.1,1.2
2012,5,8,1.09,1.22
2018,10,15,1.09,1.2
2015,4,11,1.09,1.19
2013,3,7,1.11,1.19
2015,4,31,1.11,1.2
2017,5,12,1.12,1.19
2011,10,21,1.1,1.19
2015,10,5,1.1,1.2
2018,3,28,1.1,1.19
2014,3,20,1.1,1.2
2018,1,15,1.1,1.2
2020,5,19,1.09,1.19
2017,4,13,1.11,1.21
2019,7,10,1.1,1.2
2018,1,18,1.09,1.2
2016,12,1,1.09,1.2
2014,5,10,1.11,1.2
2010,7,14,1.11,1.21
2010,12,14,1.1,1.19
2014,4,25,1.11,1.21
2010,6,22,1.1,1.21
2013,12,13,1.11,1.19
2010,9,20,1.12,1.19
2020,1,7,1.11,1.21
2012,10,18,1.1,1.19
2012,4,10,1.11,1.2
2017,2,26,1.09,1.2
2011,6,13,1.1,1.2
2015,11,14,1.11,1.2
2010,2,13,1.11,1.2
2020,8,25,1.11,1.2
2014,3,17,1.1,1.2
2020,2,11,1.09,1.21
2010,3,23,1.09,1.22
2017,9,20,1.1,1.2
2012,4,11,1.1,1.2
2018,7,5,1.12,1.2
2014,11,30,1.11,1.19
2015,9,19,1.1,1.19
2015,9,27,1.11,1.21
2011,10,7,1.1,1.19
2017,11,3,1.11,1.19
2011,1,1,1.08,1.21
2017,9,29,1.11,1.18
2016,11,3,1.1,1.19
2019,1,9,1.09,1.17
2015,7,9,1.09,1.21
2019,3,18,1.11,1.2
2018,12,19,1.11,1.21
2015,3,3,1.1,1.2
2019,11,7,1.1,1.2
2011,4,9,1.1,1.21
2019,1,6,1.12,1.22
2018,3,31,1.09,1.2
2010,10,12,1.1,1.21
2012,5,9,1.11,1.18
2019,12,15,1.1,1.21
2011,10,30,1.1,1.2
2012,1,18,1.1,1.21
2016,6,4,1.1,1.2
2010,12,10,1.09,1.2
2013,11,1,1.1,1.19
2013,12,17,1.09,1.2
2018,4,7,1.1,1.18
2011,2,18,1.1,1.21
2015,4,9,1.1,1.21
2010,4,12,1.1,1.19
2013,6,18,1.11,1.21
2010,2,5,1.1,1.19
2017,12,7,1.09,1.21
2016,9,30,1.1,1.2
2020,2,18,1.1,1.2
2014,3,9,1.11,1.2
2015,4,7,1.09,1.19
2010,12,27,1.1,1.21
2013,2,17,1.11,1.2
2013,9,14,1.09,1.21
2017,2,17,1.1,1.21
2011,6,3,1.11,1.21
2013,10,6,1.1,1.2
2019,6,24,1.11,1.21
2015,7,23,1.1,1.21
2012,1,24,1.11,1.21
2010,2,28,1.1,1.21
2015,5,1,1.12,1.2
2016,8,12,1.09,1.2
2013,5,31,1.09,1.2
2012,5,12,1.11,1.2
2011,6,22,1.08,1.2
2013,12,19,1.11,1.19
2012,3,24,1.1,1.2
2012,9,26,1.1,1.19
2016,2,12,1.1,1.2
2019,10,31,1.09,1.2
2014,12,25,1.1,1.22
2011,2,25,1.13,1.2
2010,3,19,1.11,1.2
2015,7,30,1.11,1.21
2016,5,5,1.1,1.21
2019,1,16,1.1,1.19
2011,9,4,1.1,1.19
2017,9,6,1.09,1.19
2015,4,13,1.11,1.2
2011,1,15,1.1,1.2
2020,8,25,1.1,1.2
2016,8,13,1.11,1.2
2014,4,25,1.1,1.18
2017,6,24,1.12,1.2
2017,9,13,1.12,1.19
2017,11,18,1.1,1.2
2012,3,31,1.1,1.22
2014,8,1,1.09,1.2
2013,3,27,1.09,1.2
2014,11,11,1.1,1.19
2020,11,26,1.1,1.2
2013,7,21,1.1,1.19
2012,11,28,1.1,1.19
2016,6,25,1.11,1.18
2011,7,21,1.09,1.21
2015,11,13,1.11,1.18
2012,5,15,1.11,1.2
2015,12,6,1.09,1.2
2011,4,1,1.1,1.21
2020,1,25,1.1,1.2
2017,3,24,1.1,1.19
2013,8,15,1.1,1.21
2019,1,16,1.1,1.19
2012,3,6,1.09,1.21
2010,12,13,1.09,1.19
2015,11,23,1.09,1.2
2016,7,16,1.1,1.21
2013,9,24,1.09,1.2
2013,4,26,1.11,1.21
2015,5,25,1.08,1.2
2010,12,3,1.1,1.2
2015,12,11,1.12,1.19
2014,9,31,1.1,1.2
2018,12,9,1.1,1.21
2017,12,14,1.1,1.19
2018,10,27,1.12,1.2
2015,8,26,1.09,1.2
2013,10,22,1.09,1.17
2016,4,13,1.1,1.21
2019,3,1,1.09,1.2
2016,4,6,1.12,1.22
2015,3,26,1.1,1.19
2016,2,7,1.1,1.21
2019,7,20,1.09,1.21
2016,7,31,1.09,1.18
2020,10,5,1.09,1.19
2016,5,21,1.1,1.21
2020,6,27,1.1,1.2
2017,4,2,1.08,1.2
2013,2,31,1.1,1.19
2011,8,25,1.1,1.2
2017,1,13,1.1,1.21
2016,3,7,1.11,1.19
2011,1,25,1.1,1.21
2018,4,14,1.11,1.19
2016,11,16,1.11,1.21
2020,6,5,1.11,1.22
2013,7,28,1.1,1.21
2019,6,28,1.11,1.21
2020,3,5,1.1,1.19
2016,5,2,1.09,1.2
2010,9,10,1.11,1.19
2013,5,24,1.1,1.21
2012,8,12,1.1,1.18
2015,12,21,1.1,1.2
2011,4,25,1.11,1.21
2013,5,5,1.1,1.22
2013,7,10,1.1,1.2
2017,2,15,1.09,1.2
2016,10,13,1.09,1.21
2012,6,14,1.12,1.19
2018,4,3,1.12,1.2
2019,4,5,1.08,1.2
2019,2,4,1.09,1.19
2018,8,24,1.11,1.21
2017,1,7,1.1,1.19
2019,8,22,1.09,1.2
2017,3,25,1.1,1.2
2015,9,28,1.11,1.21
2014,5,16,1.09,1.2
2018,2,21,1.09,1.19
2020,1,28,1.1,1.21
2017,5,21,1.1,1.2
2012,1,25,1.1,1.2
2015,5,14,1.08,1.19
2014,6,29,1.1,1.2
2014,3,25,1.09,1.2
2019,4,4,1.1,1.21
2020,10,23,1.1,1.19
2014,1,11,1.09,1.19
2012,7,19,1.09,1.21
2011,2,10,1.09,1.2
2012,4,17,1.11,1.21
2018,5,27,1.09,1.21
2018,1,10,1.11,1.2
2011,4,22,1.1,1.19
2020,1,10,1.12,1.19
2017,1,30,1.1,1.19
2013,4,26,1.1,1.2
2017,9,5,1.09,1.2
2010,7,30,1.1,1.21
2010,4,13,1.11,1.19
2020,10,24,1.1,1.18
2014,8,28,1.09,1.21
2019,8,26,1.11,1.18
2020,10,22,1.1,1.21
2017,3,12,1.11,1.2
2013,9,21,1.08,1.2
2015,12,7,1.1,1.19
2012,2,27,1.09,1.21
2010,4,20,1.09,1.19
2020,4,26,1.1,1.18
2011,6,1,1.1,1.21
2010,5,5,1.1,1.2
2020,7,26,1.11,1.21
2013,11,9,1.1,1.19
2010,1,18,1.11,1.2
2020,5,20,1.12,1.2
2016,9,21,1.1,1.19
2016,3,8,1.1,1.21
2020,5,29,1.11,1.19
2010,1,9,1.09,1.19
2013,12,31,1.1,1.21
2011,6,22,1.09,1.2
2019,6,26,1.11,1.21
2016,4,21,1.1,1.2
2014,2,29,1.11,1.21
2010,7,30,1.09,1.21
2017,4,8,1.1,1.21
2020,2,7,1.1,1.2
2010,11,29,1.1,1.2
2017,10,1,1.09,1.2
2018,12,18,1.09,1.2
2017,7,9,1.1,1.18
2020,12,16,1.09,1.2
2013,3,9,1.1,1.22
2016,8,9,1.11,1.19
2013,2,26,1.1,1.2
2014,8,2,1.1,1.2
2018,4,16,1.1,1.22
2014,5,8,1.09,1.21
2020,12,19,1.07,1.19
2010,5,29,1.09,1.19
2012,12,17,1.11,1.21
2014,10,30,1.08,1.21
2017,3,11,1.1,1.2
2010,8,15,1.11,1.19
2017,2,26,1.11,1.2
2012,4,18,1.09,1.19
2012,8,15,1.1,1.2
2020,8,23,1.1,1.19
2010,7,1,1.08,1.2
2017,10,2,1.1,1.18
2012,4,25,1.1,1.21
2019,2,15,1.1,1.19
2019,12,11,1.09,1.2
2014,7,19,1.1,1.19
2019,1,1,1.12,1.21
2010,3,4,1.1,1.2
2012,12,5,1.12,1.21
2019,2,24,1.11,1.2
2017,12,6,1.09,1.21
2010,12,1,1.1,1.18
2012,3,6,1.09,1.2
2011,12,19,1.1,1.21
2020,11,16,1.1,1.2
2013,1,11,1.1,1.2
2014,4,2,1.1,1.2
2013,6,20,1.11,1.19
2015,8,7,1.09,1.2
2020,1,24,1.11,1.22
2020,11,28,1.09,1.19
2013,11,2,1.1,1.2
2017,4,25,1.1,1.21
2011,7,22,1.09,1.18
2014,6,20,1.1,1.21
2010,10,12,1.1,1.19
2012,9,6,1.08,1.19
2010,8,15,1.12,1.22
2016,8,29,1.09,1.19
2019,6,29,1.09,1.2
2016,9,23,1.09,1.19
2010,2,12,1.1,1.18
2020,8,28,1.1,1.21
2019,6,31,1.09,1.19
2012,3,18,1.11,1.21
2013,11,2,1.1,1.2
2017,4,19,1.09,1.22
2015,4,12,1.09,1.18
2010,5,28,1.09,1.19
2013,4,1,1.09,1.21
2020,5,13,1.11,1.21
2011,12,21,1.1,1.19
2010,9,30,1.09,1.21
2017,6,8,1.1,1.22
2017,7,1,1.09,1.2
2010,8,8,1.1,1.2
2017,11,29,1.1,1.2
2019,9,31,1.1,1.19
2020,2,3,1.09,1.21
2010,7,23,1.1,1.23
2014,6,26,1.07,1.19
2017,6,7,1.11,1.21
2015,4,9,1.09,1.21
2018,10,13,1.09,1.2
2016,12,17,1.1,1.21
2013,2,12,1.11,1.21
2019,12,28,1.1,1.22
2010,1,15,1.09,1.18
2013,9,26,1.1,1.2
2020,5,19,1.1,1.2
2017,10,8,1.11,1.2
2018,5,6,1.1,1.19
2016,11,7,1.11,1.2
2017,2,5,1.1,1.19
2017,8,2,1.09,1.2
2020,8,16,1.11,1.2
2013,7,14,1.1,1.2
2012,4,5,1.1,1.2
2011,1,13,1.1,1.2
2015,1,7,1.1,1.19
2012,4,13,1.11,1.2
2013,12,21,1.1,1.2
2020,11,12,1.09,1.2
2017,3,19,1.09,1.2
2010,8,2,1.09,1.21
2019,4,23,1.1,1.2
2012,4,27,1.1,1.18
2012,6,23,1.11,1.2
2014,6,5,1.09,1.21
2014,10,26,1.1,1.21
2017,3,27,1.12,1.2
2014,4,20,1.12,1.19
2020,7,26,1.09,1.19
2010,10,6,1.1,1.2
2013,3,5,1.09,1.2
2020,1,20,1.1,1.2
2018,10,12,1.12,1.19
2012,12,18,1.1,1.19
2016,3,29,1.1,1.2
